club,name,grades,address,map_url,notes,lat,lon
North Marion Youth Athletics,North Marion Middle School,3rd-6th Grade,"20246 Grim Rd., NE Aurora","https://www.google.com/maps/place/North+Marion+Middle+School/@45.2513686,-122.8136791,13z/data=!4m5!3m4!1s0x549567b70c9c1b17:0x327309ed847e7c53!8m2!3d45.2137719!4d-122.7949683",,,
Oregon City Soccer Club,Wesley Lynn Park,,"12901 Frontier Pkwy, Oregon City, OR 97045",https://maps.app.goo.gl/pU9R5TRTY9njtgBV7,,,
Oregon City Soccer Club,Fischer's Mill Sports Complex,5th-12th Grade,"19010 S. Fischer's Mill Rd., Oregon City","https://www.google.com/maps/place/Fischers+Mill+Sports+Complex/@45.3767413,-122.6536208,12z/data=!4m5!3m4!1s0x0:0xb47497a79f36e6d9!8m2!3d45.3441677!4d-122.4738908",,,
Oregon City Soccer Club,King Elementary,"3rd, 4th Grade","995 S. End Rd., Oregon City","https://www.google.com/maps/place/995+South+End+Rd,+Oregon+City,+OR+97045/@45.3485781,-122.6380824,15z/data=!4m5!3m4!1s0x5495711ee95f7da5:0xc9b95657b51e83b1!8m2!3d45.3390163!4d-122.6214742",,,
Valley Premier FC,Valley Premier FC Fields,3rd-8th Grade,"15600 SE 232nd Dr., Damascus","https://www.google.com/maps/place/15600+SE+232nd+Dr,+Damascus,+OR+97089/@45.4114259,-122.5208407,13z/data=!4m5!3m4!1s0x54959c432acc162f:0x7e44bd0618150ed0!8m2!3d45.409737!4d-122.421277","park at the Montessori School, fields past the school, over the small hill",,
Whiskey Hill Kids Soccer Club,Ninety-One Grade School,3rd-8th Grade,"5811 S Whiskey Hill Rd., Hubbard","https://www.google.com/maps/place/Ninety-One+School/@45.2036049,-122.8200116,13z/data=!4m5!3m4!1s0x5495672ef8580639:0xee1a1d5ac44ef6d5!8m2!3d45.177347!4d-122.7456821",,,
Willamette United Football Club,Athey Creek Middle School,,"2900 SW Borland Rd., West Linn","https://www.google.com/maps/place/Athey+Creek+Middle+School/@45.3762562,-122.7228259,15z/data=!4m5!3m4!1s0x5495724c5dad19b1:0xd49e1e18c57b1f85!8m2!3d45.3782419!4d-122.7065181",,,
Willamette United Football Club,Boones Ferry Primary,,"11495 SW Wilsonville Rd., Wilsonville","https://www.google.com/maps/place/Boones+Ferry+Primary+School/@45.316415,-122.8127296,14z/data=!4m5!3m4!1s0x0:0x4c9d87b3bf718096!8m2!3d45.3004182!4d-122.7950485",,,
Willamette United Football Club,Cedar Oak Primary,,"4515 Cedar Oak Dr., West Linn","https://www.google.com/maps/place/Cedaroak+Park+Primary+School/@45.3885983,-122.6429088,14z/data=!4m5!3m4!1s0x0:0xa12aee42d0fdcca5!8m2!3d45.388598!4d-122.634154",,,
Willamette United Football Club,Lowrie Primary,,"28995 SW Brown Rd., Wilsonville","https://www.google.com/maps/place/Lowrie+Primary+School/@45.3194767,-122.803787,14z/data=!4m5!3m4!1s0x54956e96d10431c5:0x530e538be3b9ddbb!8m2!3d45.3106001!4d-122.7873933",,,
Willamette United Football Club,Hammerle Park,,"1505 Lewis St., West Linn","https://www.google.com/maps/place/Hammerle+Park/@45.366281,-122.6170415,16z/data=!4m5!3m4!1s0x549576ad4b1eda4b:0xbc0ea888be019b26!8m2!3d45.3692622!4d-122.6170415",,,
Willamette United Football Club,Memorial Park,,"8100 SW Wilsonville Rd., Wilsonville","https://www.google.com/maps/place/Memorial+Park/@45.3013476,-122.7683196,15z/data=!4m5!3m4!1s0x54956efb874c9b75:0x2581829a0b09ccbd!8m2!3d45.2976308!4d-122.7591786",,,
Willamette United Football Club,Mary S. Young State Park,,"19900 Willamette Dr., West Linn","https://www.google.com/maps/place/Mary+S.+Young+Park/@45.381038,-122.6391735,15z/data=!4m5!3m4!1s0x5495740712060193:0x5c85338c86581fdd!8m2!3d45.3810341!4d-122.6304188",,45.381034,-122.630419
Willamette United Football Club,Meridian Creek Middle School,,"6300 SW Hazel St., Wilsonville","https://www.google.com/maps/place/Meridian+Creek+Middle+school/@45.3308854,-122.7658689,14z/data=!4m5!3m4!1s0x0:0x63df0dcc189899aa!8m2!3d45.315617!4d-122.7406347",,,
Willamette United Football Club,Oppenlander Park,,"1275 Rosemont Rd., West Linn","https://www.google.com/maps/place/Oppenlander+Field,+West+Linn,+OR+97068/@45.3641197,-122.6466447,15z/data=!4m5!3m4!1s0x54957158eab5ef83:0xe2fe309e8a36c5e8!8m2!3d45.3696603!4d-122.6424056",,,
Willamette United Football Club,Wilsonville HS,,"6800 SW Wilsonville Rd., Wilsonville","https://www.google.com/maps/place/Wilsonville+High+School/@45.3074278,-122.7652075,14z/data=!4m5!3m4!1s0x54956e59a0b0ddcb:0x47703002d155b480!8m2!3d45.3074236!4d-122.747698",,,
Willamette United Football Club,Rosemont Ridge Middle School,,"20001 Salamo Rd., West Linn","https://www.google.com/maps/place/Rosemont+Ridge+Middle+School/@45.3591634,-122.6543047,15z/data=!4m5!3m4!1s0x549573e027f8f381:0xd628541f283b392a!8m2!3d45.3690796!4d-122.6476099",,,
Willamette United Football Club,Wood Middle School,,"11055 SW Wilsonville Rd., Wilsonville","https://www.google.com/maps/place/Inza+R.+Wood+Middle+School/@45.3370927,-122.8106183,13z/data=!4m5!3m4!1s0x0:0xeb727c367ed33d8a!8m2!3d45.3016039!4d-122.7929371?hl=en",,,
Willamette United Football Club,Sunset Primary,,"2351 Oxford St., West Linn","https://www.google.com/maps/place/Sunset+Primary+School/@45.3535477,-122.6378378,13.75z/data=!4m5!3m4!1s0x0:0x1ebdce747ec73ffb!8m2!3d45.3615294!4d-122.6272601",,,
Willamette United Football Club,Trillium Creek Primary,,"1025 Rosemont Rd., West Linn","https://www.google.com/maps/place/Trillium+Creek+Primary+School/@45.3746323,-122.659933,14z/data=!4m5!3m4!1s0x0:0xa0a161720af5f6df!8m2!3d45.374632!4d-122.6511782",,,
Willamette United Football Club,Willamette Park,,"1100 - 12th St., West Linn, OR 97068","https://www.google.com/maps/search/willamette+park+/@45.3465227,-122.6684308,14z",,,
Willamette United Football Club,Horizon Christian High School,,"23370 SW Boones Ferry Rd., Tualatin","https://www.google.com/maps/place/Horizon+Christian+High+School/@45.3508275,-122.805949,13z/data=!4m5!3m4!1s0x54956d9525f114cb:0x5f00f402548fff2c!8m2!3d45.350822!4d-122.77093?hl=en",,,
